,question_text,topics,answer_text,q_token_count,a_token_count,tf_type,tf_type_zero_shot,tf_score
1379,i snap easy and push people away i need help before i push my boyfriend away,angermanagement,death of someone with whom we had fond involvement is sad   accepting that a person is permanently gone from this earth is unsettling and can feel painfulthat you had no current contact with this person doesnt exclude the meaning or feelings from within your relationship with this person     relationships dont require a time measurement in order to affect us   your question acknowledges the process of adjusting to life without the chance to see or hear from this person againit is normal to grieve so be gentle and not critical of yourself when you feel yourself missing this person,1,1,T,F,0.8543358445167542
1620,my boyfriend of five years told me he cheated on me during our relationship after we broke up weve since gotten back together and are trying to make it work i dont know how to trust him now but i really want to make it work and it seems like he does too but my trust issues are getting in the way and causing problems,intimacy,hi michiganthis is a common issue how do you trust after you know someone is capable of hurting you i totally get that its hard and i believe its worth it if you truly love and want to be with someone you can be stronger in the scarred places i would suggest that you each have a separate job to do to rebuild this trust it is definitely possible to rebuild it because anything is possible if both people want it enoughyour boyfriend came clean to youthis is pretty crucial he chose to honour your needs rather than keep the secret you can use that as evidence in your proof that he loves me file work on that filethicken it up having a thick he does care about me and wouldnt hurt me again file will help you other things that he can do to help you thicken that file because after all his behaviours caused this problem answer all your questions dont brush you off if youre feeling insecure treat you as though youre a priority avoid questionable contact with other women have open communication give you passwords to devices so there is transparency he can help you to understand where those behaviours came fromwhy he cheated in the first places although people arent always good with those why questionsyou can focus on telling yourself that people change that he deserves a chance to show you he can be loyal or at least youve decided to give him that chance and that you want to be a trusting person if you act like a trusting person you will likely feel more like one dont go snooping dont interrogate him its normal you might feel scared and try to tell him that when you do let him know what happens that leads to you feeling scaredthis is a start for you a good therapist can be helpful too,1,1,T,F,0.8158920407295227
1295,i was the one who ended it and im so glad i did it was the best decision i made in my life but how do i stop the nightmares and flashbacks it is creating a wall in my current relationship,trauma,ending an abusive relationship is often very difficult especially if you were very close initially without the presence of abuse  if the abuse included verbal or psychological condemnation you will often have a negative selfimage that you may know is not true but often feels very true this negative selfimage and fear of being abused again can activate protections in you that were needed at the time you were abused but now create a wall in your current relationship  the fact that you were able to end the relationship and know that you made the right decision is a great acknowledgement that you have solid internal resources to draw upon in healing from the abuse  good for younightmares and flashbacks are a strong sign of memories including associated beliefs emotions and physical sensations that have remained unprocessed and therefore unhealed  there are likely reminders called triggers of the past abuse that are being activated in your current relationship that are allowing these unhealed memories to come to the surface and affect both your sleep and your waking experiences  this is certainly not something you are purposefully doing but is the result of what happened to you  however you likely feel as if you are not in control    the goal is protect your current relationship evaluate your selfimage for flaws in beliefs and feelings and begin working on healing your memories of abuse in many cases my use of emdr eye movement desensitization and reprocessing would be helpful in reducing the emotional strength of your abuse memories reduce or eliminate triggers bring healing and allow you to enjoy being in the present with your current relationship  i would recommend discussing with your current partner your harmful past experiences your decision to pursue counseling and your strong desire to be healthy for your current relationship  with a good support network in place healing is very possible,1,1,T,F,0.8678484559059143
422,a girl and i were madly in love we dated for over a year and were even talking about marriage and future plans together she moved away for school and we attempted a long distance relationship we eventually broke up its been a year now and i still havent lost my feelings for her i still love her the same way i did ive suffered from depression ever since the breakup and have been unable to connect with anyone else its damaging me and my life,depression,hi boise im sorry that youve lost this love the fact that you were planning marriage and a future tells me that you meant something very special to each other at that time its different nowyoure not together anymore but you cant accept this right good for you for identifying that this situation is damaging your life youve been grieving for longer than you were together oh but really youve not been grievingyoure stuck still loving her instead of moving forward unrequited love is a recipe for eternal heartache lets look at some possible blocks to moving forwardit could be that theres something unfinished for you maybe you felt hurt and you didnt have the chance to say so or you felt you hurt her and you didnt have the chance to make it right maybe theres a burning question you need to ask or something else you need to say maybe you want to tell her youve never stopped loving her and see if she feels the same way if this is the case you have two choices right you can reach out and say what you need to say or you can stop ruminating on that question and let it go if you reach out theres no guarantee it will go well or that shell even respond maybe write her a letter and dont send it or send itit might be worth the risk use the next paragraph to help you decide do you know how she feels how did it end did she end it was it ended just because of the distance or are there more differences between you that didnt work sometimes people are so in love that they cant clearly see that the other person isnt in love with them anymore use the information you have about what she wants for her lifecan you honour what she says she needs if shes asked for distance you would do well to honour thata key to moving forward look at your thoughts and where theyre getting stuck write it down what bad thing can happen if you let it go or if i move forward that will mean  keep goingwhat would be the worst part of that  this kind of exploring can help you identify your stuck placeit is possible that youve turned this ending into some kind of negative meaning about you or your future as in if this person doesnt love me then im unlovable or no one will ever love me as much as she did so your need to cling to her in your heart is your way of rejecting that negative message about yourself or the future can you find another way to reject that message try saying these things to yourselfi know she loved me there is evidence of thati was a good partner there is evidence of thatits part of life to fall in love and then have to move forwardi can do this and learn from itmany people like methats how i know im lovableits normal to feel sad im grieving a lost lovei want to move forward and not stare in the rearview mirrori know more love awaits me if i can get fear out of the wayif this person loved me others can too but not if im clinging to some old memorythese are the kinds of things a therapist would explore with you i wish you well,1,1,T,F,0.7262284159660339
1364,when i got home my boyfriend and i got into an argument he got upset and he started hitting his face that is the first time he has ever done that but i would be lying if i said that didnt scare me i locked myself in the room,angermanagement,sounds scary to watch  i agree with youmaybe he felt so overwhelmed by anger hurt and frustration that he went back to an old behavior from his past in which someone hit him for having strong emotionsnow that the incident is past bring up the topic to him so the two of you can discuss itjust the fact of you having empathy and caring what he was feeling at the time may be restorative to himat the very least you may find out exactly what the answer is to your question as to why he did this in the first place,1,1,T,F,0.9642948508262634
1361,i have a child with my baby mother she works i take care of our young son she says she is not cheating i have not found anything but she always putting me down telling me to get out and telling me she doesnt love me but then the next day after our fight she says she does im having a hard time because before our child she said she was raped by a family member but she never went to the hospital or the cops now me and my family dont talk shes always telling me im annoying and just belittles me nothing i do is right she says i work you watch the baby on her days off she never cooks or cleans i have no friends or family and a couple months ago she was confiding to some guy but says hes not any thing to her what do i do i dont want to leave,domesticviolence,it sounds like you are in a tough situation you have to ask yourself why you dont want to leave her is it because of the child or is it because you want the relationship to work you must consider that being in an abusive relationship is not healthy for you or your child so if the abuse continues it would be more beneficial for you and your child to move outon the other hand if you are just wanting the relationship to work out despite its current state you need to evaluate whether the relationship is worth salvaging it seems as though you are very unhappy and undervalued in this relationship although your question revealed just a short bit of information i didnt read about any positives in the relationship sometimes its extremely hard to leave a relationship even though you know that the relationship itself is harmful for you however with time and focus you can do it each day will get a little easier and you have to trust yourself that you are making the right situation for you and your childhowever if you really feel that you want to stay in the relationship you have to be upfront with her you need to tell her exactly how you feel and give her specific examples of how she is hurting you this gives her a chance to render the situation if after this there is no improvement i suggest that you start reconsidering your decision to stayi also think it would be valuable for you to start engaging in things outside of the home that make you happy are there any hobbies you enjoy are there any groups in the area that you can join such as playgroups that will allow you to engage with other parents start looking into these options and finding an avenue for you to do something for your own benefitit is certainly not healthy for you to isolate yourself from friends and family you need to have additional support networks besides the one with your girlfriend especially since this has not been a healthy environment latelythank you for reaching out i wish you the best of luck with your relationship,1,1,T,F,0.5295085906982422
615,i dont understand why this is happening why do i feel this way,anxiety,social anxiety has skyrocketed since covid  plus could be trauma or ptsd  maybe you are a known person and feel safer not going so much out in public  i understand as a known person in my field depending on where i am it can be a bit much  or maybe the things you found joy in before are not as much of an interest  it could be your age or menapause hormones and injury  so many things could be in play depending on the client and their lifestyle  always best to get a check up  see if there is under lining medical issues and then go from there,1,1,T,F,0.5932016968727112
848,my exwife married and used me to have a child she now uses that child as a pawn i know my child misses me but i need to move on and not live in the past how do i do this do i see my child as much as possible or very little is it more confusing for the child,parenting,as you will see in the two verses i will list below jesus and the apostle paul are telling us that we have to learn how to let go of our past jesus says that anyone who is trying to move forward in his walk and call for god  but keeps looking back  is not fit for the kingdom of god  seek deliverance from parts of your past youre struggling to let go ask the holy spirit or your higher power to help  find how to incorporate visitation so this child see you and also maybe seek some legal advice on this matter,1,1,T,F,0.7320024371147156
1915,ive been bulimic for about  years now im in my early s i am about to start back to school to become an rn and i really need to get better once and for all    i lose control of myself and become angry and anxious and just eat and purge over and over can someone please point me in the right direction for help,eatingdisorders,eating disorders usually result from a sense of insecurity about who the person is whether they are good enough compared with anyone else and whether the way they person lives is effectiveif you have a style youre already happy with to reflect on these sorts of topics keep following your own logic with the aim to free yourself which usually takes place gradually from these sort of selfdoubtsthe other approach would be to find an unperson or an online discussion group where youd be able to offer and receive the support from other people who live with a similar problemgood luck in your studies,1,1,T,T,0.9311643242835999
1630,my boyfriend recently got a kitty i hate cats in general and he knows it it grosses me out and makes me very upset when he pets his cat i want to throw out the cat i feel very jealous,intimacy,sorry for you and sorry for the cat because youre each in a tense positionwhat was the context of your boyfriend adopting a cat since he was aware that this would likely cause problems in the relationship with youif you dont already know his answer then find out  doing so will tell you a lot about your boyfriends expectations about you  does he expect you to accept without question whatever he does  does he care about your views  does a cat have some deep meaning for him that having one is essential to his life and he never told you soplease dont be mean to the cat  its not the cats fault for being in your boyfriends carethere are plenty of other cats on this earth so throwing out the cat will not solve anything between you and your boyfriendwho knows your boyfriend may come back home with three more catsstart with a conversation about your feelings and his interest in your feelings,1,1,T,F,0.788641095161438
